network code,station code,name,telemetry,latitude,longitude,elevation
CU,ANWB,North Barbuda Island,Telemetry Status 2,17.6684,-61.78562,9
CU,BBGH,"Gun Hill, Barbados",Telemetry Status 0,13.1434,-59.5588,180
CU,BCIP,"Isla Barro Colorado, Panama",Telemetry Status 2,9.1665,-79.8373,61
CU,GRGR,"Grenville, Grenada",Telemetry Status 2,12.13237,-61.65407,191
CU,GRTK,"Grand Turk, Turks and Caicos Islands",Telemetry Status 2,21.511472,-71.13425,13
CU,GTBY,"Guantanamo Bay, Cuba",Telemetry Status 2,19.9268,-75.1108,79
CU,MTDJ,"Mount Denham, Jamaica",Telemetry Status 2,18.22605,-77.53454,925
CU,SDDR,"Presa de Sabenta, Dominican Republic",Telemetry Status 1,18.982121,-71.287836,589
CU,TGUH,"Tegucigalpa, Honduras",Telemetry Status 2,14.057,-87.273,1160
GT,BDFB,"Brasilia, Distrito Federal, Brazil",Telemetry Status 1,-15.6418,-48.0148,1198
GT,BOSA,"Boshof, South Africa",Telemetry Status 2,-28.6141,25.2555,1305
GT,CPUP,"Villa Florida, Paraguay",Telemetry Status 2,-26.33064,-57.33087,105
GT,DBIC,"Dimbokro, Ivory Coast",Telemetry Status 2,6.67015,-4.85653,161
GT,LBTB,"Lobatse, Botswana",Telemetry Status 2,-25.015124,25.596598,1148
GT,LPAZ,"La Paz, Bolivia",Telemetry Status 2,-16.287923,-68.130714,4815
GT,PLCA,"Paso Flores, Argentina",Telemetry Status 2,-40.732739,-70.550804,1079
GT,VNDA,"Dry Valley, Vanda, Antarctica",Telemetry Status 2,-77.517275,161.852758,121
IC,BJT,"Baijiatuan, Beijing, China",Telemetry Status 2,40.019074,116.171611,220
IC,ENH,"Enshi, Hubei Province, China",Telemetry Status 2,30.2762,109.49474,463
IC,HIA,"Hailar, Neimenggu Autonomous Region, China",Telemetry Status 2,49.270115,119.741363,625
IC,KMI,"Kunming, Yunnan Province, China",Telemetry Status 0,25.14825,102.74748,1975
IC,LSA,"Tibet, China",Telemetry Status 2,29.70317,91.12757,3660
IC,MDJ,"Mudanjiang, Heilongjiang Province, China",Telemetry Status 2,44.61763,129.59341,290
IC,QIZ,"Qiongzhong, Hainan Province, China",Telemetry Status 2,19.02928,109.84398,240
IC,SSE,"Shanghai, China",Telemetry Status 0,31.09455,121.18863,20
IC,WMQ,"Urumqi, Xinjiang Province, China",Telemetry Status 0,43.81411,87.70448,850
IC,XAN,"Xi'an, China",Telemetry Status 0,34.03107,108.92321,664
II,AAK,"Ala Archa, Kyrgyzstan",Telemetry Status 2,42.6375,74.4942,1633
II,ABPO,"Ambohimpanompo, Madagascar",Telemetry Status 2,-19.018,47.229,1528
II,ALE,"Alert, NU, Canada",Telemetry Status 2,82.5033,-62.35,60
II,ARTI,"Arti, Russia",Telemetry Status 2,56.3879,58.3849,320
II,ASCN,"Butt Crater, Ascension Island",Telemetry Status 1,-7.9327,-14.3601,173
II,BFO,"Black Forest Observatory, Schiltach, Germany",Telemetry Status 2,48.3301,8.3296,638
II,BORG,"Borgarfjordur, Asbjarnarstadir, Iceland",Telemetry Status 2,64.7474,-21.3268,110
II,BORK,"Burabay, Kazakhstan",Telemetry Status 2,53.0461,70.3184,334
